window,StockPrice,NewsScore
"Row(start=datetime.datetime(2019, 7, 18, 20, 0), end=datetime.datetime(2019, 7, 29, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 19, 20, 0), end=datetime.datetime(2019, 7, 30, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095295406, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047619620725, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.1428571428628739, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 20, 20, 0), end=datetime.datetime(2019, 7, 31, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 21, 20, 0), end=datetime.datetime(2019, 8, 1, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571371261, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.5238095238037928, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.1904761904704594, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 22, 20, 0), end=datetime.datetime(2019, 8, 2, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 23, 20, 0), end=datetime.datetime(2019, 8, 3, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 24, 20, 0), end=datetime.datetime(2019, 8, 4, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 25, 20, 0), end=datetime.datetime(2019, 8, 5, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 26, 20, 0), end=datetime.datetime(2019, 8, 6, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095295406, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047619620725, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.1428571428628739, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 27, 20, 0), end=datetime.datetime(2019, 8, 7, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 28, 20, 0), end=datetime.datetime(2019, 8, 8, 20, 0))","[1.0, 0.9523809523793604, 0.9047619047587209, 0.8571428571380812, 0.809523809524128, 0.7619047619034883, 0.7142857142828487, 0.6666666666688954, 0.6190476190482558, 0.5714285714276163, 0.5238095238069767, 0.47619047619302335, 0.42857142857238373, 0.38095238095174416, 0.3333333333377908, 0.28571428571715124, 0.23809523809651167, 0.19047619047587208, 0.14285714286191875, 0.09523809524127916, 0.04761904762063958, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 29, 20, 0), end=datetime.datetime(2019, 8, 9, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 30, 20, 0), end=datetime.datetime(2019, 8, 10, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.1904761904704594, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 7, 31, 20, 0), end=datetime.datetime(2019, 8, 11, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 1, 20, 0), end=datetime.datetime(2019, 8, 12, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 2, 20, 0), end=datetime.datetime(2019, 8, 13, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095295406, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 3, 20, 0), end=datetime.datetime(2019, 8, 14, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 4, 20, 0), end=datetime.datetime(2019, 8, 15, 20, 0))","[1.0, 0.9523809523793604, 0.9047619047587209, 0.8571428571380812, 0.809523809524128, 0.7619047619034883, 0.7142857142828487, 0.6666666666622092, 0.6190476190482558, 0.5714285714276163, 0.5238095238069767, 0.47619047619302335, 0.42857142857238373, 0.38095238095174416, 0.3333333333311046, 0.28571428571715124, 0.23809523809651167, 0.19047619047587208, 0.14285714286191875, 0.09523809524127916, 0.04761904762063958, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 5, 20, 0), end=datetime.datetime(2019, 8, 16, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 6, 20, 0), end=datetime.datetime(2019, 8, 17, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571371261, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.5238095238037928, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.1904761904704594, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 7, 20, 0), end=datetime.datetime(2019, 8, 18, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 8, 20, 0), end=datetime.datetime(2019, 8, 19, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 9, 20, 0), end=datetime.datetime(2019, 8, 20, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 10, 20, 0), end=datetime.datetime(2019, 8, 21, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 11, 20, 0), end=datetime.datetime(2019, 8, 22, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095295406, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047619620725, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.1428571428628739, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 12, 20, 0), end=datetime.datetime(2019, 8, 23, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 13, 20, 0), end=datetime.datetime(2019, 8, 24, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571371261, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.5238095238037928, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.1904761904704594, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 14, 20, 0), end=datetime.datetime(2019, 8, 25, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 15, 20, 0), end=datetime.datetime(2019, 8, 26, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 16, 20, 0), end=datetime.datetime(2019, 8, 27, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 17, 20, 0), end=datetime.datetime(2019, 8, 28, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 18, 20, 0), end=datetime.datetime(2019, 8, 29, 20, 0))","[1.0, 0.9523809523857283, 0.9047619047647703, 0.8571428571438123, 0.8095238095295406, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190523949, 0.571428571431437, 0.523809523810479, 0.47619047619620725, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.2857142857190616, 0.23809523809810362, 0.19047619047714565, 0.1428571428628739, 0.09523809524191594, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 19, 20, 0), end=datetime.datetime(2019, 8, 30, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 20, 20, 0), end=datetime.datetime(2019, 8, 31, 20, 0))","[1.0, 0.9523809523793604, 0.9047619047587209, 0.8571428571380812, 0.809523809524128, 0.7619047619034883, 0.7142857142828487, 0.6666666666688954, 0.6190476190482558, 0.5714285714276163, 0.5238095238069767, 0.47619047619302335, 0.42857142857238373, 0.38095238095174416, 0.3333333333377908, 0.28571428571715124, 0.23809523809651167, 0.19047619047587208, 0.14285714286191875, 0.09523809524127916, 0.04761904762063958, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 21, 20, 0), end=datetime.datetime(2019, 9, 1, 20, 0))","[1.0, 0.9523809523790421, 0.9047619047647703, 0.8571428571438123, 0.8095238095228543, 0.7619047619085826, 0.7142857142876247, 0.6666666666666666, 0.6190476190457087, 0.571428571431437, 0.523809523810479, 0.47619047618952104, 0.42857142857524927, 0.3809523809542913, 0.3333333333333333, 0.28571428571237534, 0.23809523809810362, 0.19047619047714565, 0.14285714285618767, 0.0952380952352297, 0.04761904762095797, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2019, 8, 22, 20, 0), end=datetime.datetime(2019, 9, 2, 20, 0))","[1.0, 0.9523809523790421, 0.904761904758084, 0.8571428571438123, 0.8095238095228543, 0.7619047619018964, 0.7142857142809385, 0.6666666666666666, 0.6190476190457087, 0.5714285714247507, 0.523809523810479, 0.47619047618952104, 0.42857142856856306, 0.3809523809476051, 0.3333333333333333, 0.28571428571237534, 0.2380952380914174, 0.1904761904704594, 0.14285714285618767, 0.0952380952352297, 0.047619047614271735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
